iter	Logloss
0	0.6872180549
1	0.6810734937
2	0.6748154409
3	0.6689519503
4	0.6631849336
5	0.6574355238
6	0.6514974332
7	0.6459180137
8	0.6400515103
9	0.6346993139
10	0.6296177852
11	0.624388649
12	0.6191902873
13	0.6140494683
14	0.6089842809
15	0.6043612416
16	0.5999654829
17	0.5954871054
18	0.5910691053
19	0.5867664366
20	0.5825232484
21	0.5793851692
22	0.5754580633
23	0.5719355556
24	0.5683616553
25	0.56485217
26	0.5611099898
27	0.5575921708
28	0.554384494
29	0.551180303
30	0.5478320644
31	0.545188753
32	0.5421804268
33	0.5393224355
34	0.5363149849
35	0.5336419975
36	0.5310462342
37	0.5286635493
38	0.5259994408
39	0.5236744579
40	0.5210110796
41	0.5185811464
42	0.5166693798
43	0.5147470723
44	0.5124433767
45	0.5102511131
46	0.5083752379
47	0.5062325041
48	0.5041596248
49	0.5021390514
50	0.5001869688
51	0.4982557709
52	0.4961574893
53	0.4942667495
54	0.4927024268
55	0.4911059815
56	0.4894779849
57	0.4876928387
58	0.4860490019
59	0.484584873
60	0.4830374757
61	0.4816712147
62	0.4802323419
63	0.4785497379
64	0.477264329
65	0.4759247148
66	0.4745956081
67	0.4731681146
68	0.4716509484
69	0.4705949555
70	0.469504025
71	0.468293876
72	0.4672098109
73	0.4661249403
74	0.4649036188
75	0.4637773184
76	0.4627089463
77	0.4617773301
78	0.4606625155
79	0.4596892974
80	0.4586554625
81	0.4576077923
82	0.4565996511
83	0.4555586763
84	0.4547873165
85	0.4538497053
86	0.4533218093
87	0.4525560331
88	0.4516088772
89	0.4509684434
90	0.4501893575
91	0.4496427303
92	0.4488841744
93	0.4481437334
94	0.4473408529
95	0.4465244512
96	0.4458476166
97	0.4451192795
98	0.444636926
99	0.4439548987
100	0.4434900682
101	0.4429282443
102	0.4423204492
103	0.4418058272
104	0.4411431773
105	0.4404831058
106	0.4401461851
107	0.4394914976
108	0.4388102696
109	0.4381971772
110	0.4375429388
