z,n,positronEmission(keV)
1,0,-1804.3447999999999
3,0,12714.0022
2,1,-1040.58982
3,1,21876.2762
4,1,24438.0022
5,1,27923.0022
2,2,-23218.210900000002
3,2,-574.3449
4,2,3266.1556
5,2,10885.5573
6,2,11120.7024
2,3,-22683.210900000002
3,3,-4527.2125
4,3,-160.10479999999995
5,3,16957.8995
6,3,15472.487600000002
7,3,22079.3567
8,3,22351.2715
2,4,-25305.627200000003
3,4,-12188.0207
4,4,-17026.1307
5,4,46.03710000000012
6,4,2626.0645
7,4,12694.2491
8,4,13653.269
9,4,17893.0022
2,5,-24083.9978
3,5,-11685.876199999999
4,5,-14628.4519
5,5,-1578.8737
6,5,959.6911000000001
7,5,16316.070300000001
8,5,16747.9528
9,5,22934.6237
10,5,22626.6237
3,6,-17002.9191
4,6,-21467.1389
5,6,-12531.458499999999
6,6,-14391.3957
7,6,1198.4739999999997
8,6,4122.3665
9,6,12689.1322
10,6,12289.5954
11,6,17197.1299
3,7,-17166.5169
4,7,-21573.087600000003
5,7,-12730.3614
6,7,-14458.9365
7,7,-1178.4742999999999
8,7,1732.1862999999998
9,7,14390.1862
10,7,13526.752900000001
11,7,18698.3767
12,7,17887.0117
4,8,-24953.813000000002
5,8,-18119.1293
6,8,-21665.7904
7,8,-10793.704899999999
8,8,-11442.9072
9,8,1738.4676999999997
10,8,3422.5071
11,8,10155.333200000001
12,8,9605.207600000002
13,8,15164.0022
14,8,14417.0022
4,9,-24343.813000000002
5,9,-17312.8144
6,9,-20106.2321
7,9,-9032.2238
8,9,-9700.8408
9,9,633.9309999999999
10,9,2217.5008
11,9,12870.422900000001
12,9,12066.710200000001
13,9,17579.0022
14,9,16180.0022
15,9,22253.0022
5,10,-21890.4389
6,10,-24439.563400000003
7,10,-14183.798499999999
8,10,-14917.9816
9,10,-5842.3007
10,10,-8046.4667
11,10,2524.9211999999998
12,10,3759.4073
13,10,11199.7479
14,10,9772
15,10,15341.0022
16,10,15685.0022
5,11,-21357.437700000002
6,11,-23706.440000000002
7,11,-12828.096
8,11,-13545.394999999999
9,11,-4835.6327
10,11,-6706.169
11,11,1821.3265000000001
12,11,3034.1812
13,11,12862.7682
14,11,11721.2978
15,11,17092.0022
16,11,17128.0022
17,11,23175.0022
18,11,22925.0022
6,12,-27895.372
7,12,-17579.497300000003
8,12,-18992.3239
9,12,-9131.6368
10,12,-11840.089399999999
11,12,-5397.8063
12,12,-6537.6752
13,12,3254.8102
14,12,4047.1382999999996
15,12,10703.4752
16,12,10199.061500000002
17,12,16095.0022
18,12,16375.0022
19,12,21913.0022
6,13,-28378.4939
7,13,-16759.0667
8,13,-18191.8794
9,13,-7511.654
10,13,-9461.306199999999
11,13,-3488.2561
12,13,-4856.9662
13,13,2982.4064
14,13,3790.3605
15,13,13322.9429
16,13,12836.4279
17,13,17711.8042
18,13,17338.0022
19,13,23168.0022
20,13,22467.0022
6,14,-32919.9997
7,14,-21432.9978
8,14,-23503.7703
9,14,-12358.105
10,14,-14518.156099999998
11,14,-8344.3085
12,14,-10375.7609
13,14,-3632.2672000000002
14,14,-5664.0754
15,14,3920.2347
16,14,5119.6035999999995
17,14,10985.9812
18,14,10112.355800000001
19,14,15903.0022
20,14,15088.0022
21,14,20888.0022
6,15,-33761.9978
7,15,-22868.3961
8,15,-23121.056200000003
9,15,-11977.886299999998
10,15,-14391.667599999999
11,15,-8363.8918
12,15,-10090.8015
13,15,-2852.7718
14,15,-4709.317
15,15,3210.1086999999998
16,15,4376.0152
17,15,11658.8335
18,15,10597.047400000001
19,15,16136.0022
20,15,15341.0022
21,15,21579.0022
22,15,20368.0022
7,16,-28471.9978
8,16,-29459.9978
9,16,-17016.861100000002
10,16,-19215.5392
11,16,-13590.6983
12,16,-15053.6281
13,16,-8617.400099999999
14,16,-9590.8437
15,16,-2513.5049
16,16,-2732.6586
17,16,4560.5204
18,16,5039.7952
19,16,10852.397700000001
20,16,9944.0177
21,16,15894.0022
22,16,14597.0022
23,16,19048.0022
8,17,-29675.9978
9,17,-17008.3833
10,17,-19104.5658
11,17,-13310.0512
12,17,-14314.3516
13,17,-8004.7418
14,17,-9020.3264
15,17,-1249.185
16,17,-1270.5057
17,17,4469.6059
18,17,4944.2451
19,17,11792.3629
20,17,10642.133600000001
21,17,16787.0022
22,17,15651.0022
23,17,20441.0022
24,17,19078.0022
9,18,-20557.9978
10,18,-23126.0557
11,18,-16741.807
12,18,-18378.040100000002
13,18,-12850.554699999999
14,18,-14000.318599999999
15,18,-6845.0201
16,18,-6404.9857
17,18,-1189.3196
18,18,-1731.5321
19,18,5125.4797
20,18,5720.2585
21,18,12087.982600000001
22,18,10507.9161
23,18,14986.0022
24,18,13657.0022
25,18,18318.0022
9,19,-19697.9978
10,19,-22772.3851
11,19,-15827.4479
12,19,-16390.1811
13,19,-11292.465499999998
14,19,-13038.9438
15,19,-5579.0153
16,19,-5010.3984
17,19,120.13510000000008
18,19,-208.12490000000003
19,19,4892.0693
20,19,5502.491
21,19,13301.051500000001
22,19,11922.823600000002
23,19,16463.0022
24,19,14924.0022
25,19,19860.0022
26,19,18366.0022
10,20,-26701.9978
11,20,-19957.5603
12,20,-20491.0501
13,20,-14482.252799999998
