z,n,betaMinus(keV)
2,1,-13736
1,2,18.59202
2,2,-22898.274
3,2,-25460
4,2,-28945
1,3,22196.2131
2,3,-447.6529
3,3,-4288.1534
4,3,-11907.5551
5,3,-12142.7002
1,4,21661.2131
2,4,3505.2147
3,4,-861.893
4,4,-17979.8973
5,4,-16494.4854
6,4,-23101.3545
7,4,-23373.2693
1,5,24283.6294
2,5,11166.0229
3,5,16004.1329
4,5,-1068.0349
5,5,-3648.0623
6,5,-13716.2469
7,5,-14675.2668
8,5,-18915
1,6,23062
2,6,10663.8784
3,6,13606.4541
4,6,556.8759
5,6,-1981.6889
6,6,-17338.0681
7,6,-17769.9506
8,6,-23956.6215
9,6,-23648.6215
2,7,15980.9213
3,7,20445.1411
4,7,11509.4607
5,7,13369.3979
6,7,-2220.4718
7,7,-5144.3643
8,7,-13711.13
9,7,-13311.5932
10,7,-18219.1277
2,8,16144.5191
3,8,20551.0898
4,8,11708.3636
5,8,13436.9387
6,8,156.4765
7,8,-2754.1841
8,8,-15412.184
9,8,-14548.7507
10,8,-19720.3745
11,8,-18909.0095
3,9,23931.8152
4,9,17097.1315
5,9,20643.7926
6,9,9771.7071
7,9,10420.9094
8,9,-2760.4655
9,9,-4444.5049
10,9,-11177.331
11,9,-10627.2054
12,9,-16186
13,9,-15439
3,10,23321.8152
4,10,16290.8166
5,10,19084.2343
6,10,8010.226
7,10,8678.843
8,10,-1655.9288
9,10,-3239.4986
10,10,-13892.4207
11,10,-13088.708
12,10,-18601
13,10,-17202
14,10,-23275
4,11,20868.4411
5,11,23417.5656
6,11,13161.8007
7,11,13895.9838
8,11,4820.3029
9,11,7024.4689
10,11,-3546.919
11,11,-4781.4051
12,11,-12221.7457
13,11,-10793.9978
14,11,-16363
15,11,-16707
4,12,20335.4399
5,12,22684.4422
6,12,11806.0982
7,12,12523.3972
8,12,3813.6349
9,12,5684.1712
10,12,-2843.3243
11,12,-4056.179
12,12,-13884.766
13,12,-12743.2956
14,12,-18114
15,12,-18150
16,12,-24197
17,12,-23947
5,13,26873.3742
6,13,16557.4995
7,13,17970.3261
8,13,8109.639
9,13,10818.0916
10,13,4375.8085
11,13,5515.6774
12,13,-4276.808
13,13,-5069.1361
14,13,-11725.473
15,13,-11221.0593
16,13,-17117
17,13,-17397
18,13,-22935
5,14,27356.4961
6,14,15737.0689
7,14,17169.8816
8,14,6489.6562
9,14,8439.3084
10,14,2466.2583
11,14,3834.9684
12,14,-4004.4042
13,14,-4812.3583
14,14,-14344.9407
15,14,-13858.4257
16,14,-18733.802
17,14,-18360
18,14,-24190
19,14,-23489
5,15,31898.0019
6,15,20411
7,15,22481.7725
8,15,11336.1072
9,15,13496.1583
10,15,7322.3107
11,15,9353.7631
12,15,2610.2694
13,15,4642.0776
14,15,-4942.2325
15,15,-6141.6014
16,15,-12007.979
17,15,-11134.3536
18,15,-16925
19,15,-16110
20,15,-21910
5,16,32740
6,16,21846.3983
7,16,22099.0584
8,16,10955.8885
9,16,13369.6698
10,16,7341.894
11,16,9068.8037
12,16,1830.774
13,16,3687.3192
14,16,-4232.1065
15,16,-5398.013
16,16,-12680.8313
17,16,-11619.0452
18,16,-17158
19,16,-16363
20,16,-22601
21,16,-21390
6,17,27450
7,17,28438
8,17,15994.8633
9,17,18193.5414
10,17,12568.7005
11,17,14031.6303
12,17,7595.4023
13,17,8568.8459
14,17,1491.5071
15,17,1710.6608
16,17,-5582.5182
17,17,-6061.793
18,17,-11874.3955
19,17,-10966.0155
20,17,-16916
21,17,-15619
22,17,-20070
7,18,28654
8,18,15986.3855
9,18,18082.568
10,18,12288.0534
11,18,13292.3538
12,18,6982.744
13,18,7998.3286
14,18,227.1872
15,18,248.5079
16,18,-5491.6037
17,18,-5966.2429
18,18,-12814.3607
19,18,-11664.1314
20,18,-17809
21,18,-16673
22,18,-21463
23,18,-20100
8,19,19536
9,19,22104.0579
10,19,15719.8092
11,19,17356.0423
12,19,11828.5569
13,19,12978.3208
14,19,5823.0223
15,19,5382.9879
16,19,167.3218
17,19,709.5343
18,19,-6147.4775
19,19,-6742.2563
20,19,-13109.9804
21,19,-11529.9139
22,19,-16008
23,19,-14679
24,19,-19340
8,20,18676
9,20,21750.3873
10,20,14805.4501
11,20,15368.1833
12,20,10270.4677
13,20,12016.946
14,20,4557.0175
15,20,3988.4006
16,20,-1142.1329
17,20,-813.8729
18,20,-5914.0671
19,20,-6524.4888
20,20,-14323.0493
21,20,-12944.8214
22,20,-17485
23,20,-15946
24,20,-20882
25,20,-19388
9,21,25680
10,21,18935.5625
11,21,19469.0523
12,21,13460.255
13,21,16994.0653
14,21,10466.3291
15,21,10413.0962
16,21,4865.1258
17,21,4916.7109
18,21,565
19,21,1310.9051
20,21,-6495.5482
21,21,-7016.6496
22,21,-11399.2333
23,21,-10386.1805
24,21,-14535
25,21,-13628
26,21,-17750
27,21,-16448
9,22,25661
10,22,18359
11,22,18817.24
12,22,11320.9428
13,22,14167.7504
14,22,7814.9194
15,22,7900.4135
16,22,2936.9
17,22,3441.9774
18,22,-1504.4031
19,22,-421.6406
20,22,-6426.2904
