z,n,electronCapture(keV)
1,0,-782.347
3,0,13736
2,1,-18.59202
3,1,22898.274
4,1,25460
5,1,28945
2,2,-22196.2131
3,2,447.6529
4,2,4288.1534
5,2,11907.5551
6,2,12142.7002
2,3,-21661.2131
3,3,-3505.2147
4,3,861.893
5,3,17979.8973
6,3,16494.4854
7,3,23101.3545
8,3,23373.2693
2,4,-24283.6294
3,4,-11166.0229
4,4,-16004.1329
5,4,1068.0349
6,4,3648.0623
7,4,13716.2469
8,4,14675.2668
9,4,18915
2,5,-23062
3,5,-10663.8784
4,5,-13606.4541
5,5,-556.8759
6,5,1981.6889
7,5,17338.0681
8,5,17769.9506
9,5,23956.6215
10,5,23648.6215
3,6,-15980.9213
4,6,-20445.1411
5,6,-11509.4607
6,6,-13369.3979
7,6,2220.4718
8,6,5144.3643
9,6,13711.13
10,6,13311.5932
11,6,18219.1277
3,7,-16144.5191
4,7,-20551.0898
5,7,-11708.3636
6,7,-13436.9387
7,7,-156.4765
8,7,2754.1841
9,7,15412.184
10,7,14548.7507
11,7,19720.3745
12,7,18909.0095
4,8,-23931.8152
5,8,-17097.1315
6,8,-20643.7926
7,8,-9771.7071
8,8,-10420.9094
9,8,2760.4655
10,8,4444.5049
11,8,11177.331
12,8,10627.2054
13,8,16186
14,8,15439
4,9,-23321.8152
5,9,-16290.8166
6,9,-19084.2343
7,9,-8010.226
8,9,-8678.843
9,9,1655.9288
10,9,3239.4986
11,9,13892.4207
12,9,13088.708
13,9,18601
14,9,17202
15,9,23275
5,10,-20868.4411
6,10,-23417.5656
7,10,-13161.8007
8,10,-13895.9838
9,10,-4820.3029
10,10,-7024.4689
11,10,3546.919
12,10,4781.4051
13,10,12221.7457
14,10,10793.9978
15,10,16363
16,10,16707
5,11,-20335.4399
6,11,-22684.4422
7,11,-11806.0982
8,11,-12523.3972
9,11,-3813.6349
10,11,-5684.1712
11,11,2843.3243
12,11,4056.179
13,11,13884.766
14,11,12743.2956
15,11,18114
16,11,18150
17,11,24197
18,11,23947
6,12,-26873.3742
7,12,-16557.4995
8,12,-17970.3261
9,12,-8109.639
10,12,-10818.0916
11,12,-4375.8085
12,12,-5515.6774
13,12,4276.808
14,12,5069.1361
15,12,11725.473
16,12,11221.0593
17,12,17117
18,12,17397
19,12,22935
6,13,-27356.4961
7,13,-15737.0689
8,13,-17169.8816
9,13,-6489.6562
10,13,-8439.3084
11,13,-2466.2583
12,13,-3834.9684
13,13,4004.4042
14,13,4812.3583
15,13,14344.9407
16,13,13858.4257
17,13,18733.802
18,13,18360
19,13,24190
20,13,23489
6,14,-31898.0019
7,14,-20411
8,14,-22481.7725
9,14,-11336.1072
10,14,-13496.1583
11,14,-7322.3107
12,14,-9353.7631
13,14,-2610.2694
14,14,-4642.0776
15,14,4942.2325
16,14,6141.6014
17,14,12007.979
18,14,11134.3536
19,14,16925
20,14,16110
21,14,21910
6,15,-32740
7,15,-21846.3983
8,15,-22099.0584
9,15,-10955.8885
10,15,-13369.6698
11,15,-7341.894
12,15,-9068.8037
13,15,-1830.774
14,15,-3687.3192
15,15,4232.1065
16,15,5398.013
17,15,12680.8313
18,15,11619.0452
19,15,17158
20,15,16363
21,15,22601
22,15,21390
7,16,-27450
8,16,-28438
9,16,-15994.8633
10,16,-18193.5414
11,16,-12568.7005
12,16,-14031.6303
13,16,-7595.4023
14,16,-8568.8459
15,16,-1491.5071
16,16,-1710.6608
17,16,5582.5182
18,16,6061.793
19,16,11874.3955
20,16,10966.0155
21,16,16916
22,16,15619
23,16,20070
8,17,-28654
9,17,-15986.3855
10,17,-18082.568
11,17,-12288.0534
12,17,-13292.3538
13,17,-6982.744
14,17,-7998.3286
15,17,-227.1872
16,17,-248.5079
17,17,5491.6037
18,17,5966.2429
19,17,12814.3607
20,17,11664.1314
21,17,17809
22,17,16673
23,17,21463
24,17,20100
9,18,-19536
10,18,-22104.0579
11,18,-15719.8092
12,18,-17356.0423
13,18,-11828.5569
14,18,-12978.3208
15,18,-5823.0223
16,18,-5382.9879
17,18,-167.3218
18,18,-709.5343
19,18,6147.4775
20,18,6742.2563
21,18,13109.9804
22,18,11529.9139
23,18,16008
24,18,14679
25,18,19340
9,19,-18676
10,19,-21750.3873
11,19,-14805.4501
12,19,-15368.1833
13,19,-10270.4677
14,19,-12016.946
15,19,-4557.0175
16,19,-3988.4006
17,19,1142.1329
18,19,813.8729
19,19,5914.0671
20,19,6524.4888
21,19,14323.0493
22,19,12944.8214
23,19,17485
24,19,15946
25,19,20882
26,19,19388
10,20,-25680
11,20,-18935.5625
12,20,-19469.0523
13,20,-13460.255
14,20,-16994.0653
15,20,-10466.3291
16,20,-10413.0962
17,20,-4865.1258
18,20,-4916.7109
19,20,-565
20,20,-1310.9051
21,20,6495.5482
22,20,7016.6496
23,20,11399.2333
24,20,10386.1805
25,20,14535
26,20,13628
27,20,17750
28,20,16448
10,21,-25661
11,21,-18359
12,21,-18817.24
13,21,-11320.9428
14,21,-14167.7504
15,21,-7814.9194
16,21,-7900.4135
17,21,-2936.9
18,21,-3441.9774
19,21,1504.4031
20,21,421.6406
21,21,6426.2904
22,21,6872.5591
23,21,13740.5071
24,21,12371.64
25,21,17053.8226
26,21,15437
27,21,19738
28,21,18309
11,22,-22350
12,22,-23356.7903
13,22,-15863.5156
14,22,-18386.5096
15,22,-12424.5003
16,22,-12239.6512
17,22,-6637.5463
18,22,-7482.0816
19,22,-2492.0392
20,22,-3525.2626
21,22,2220.7227
22,22,267.4488
23,22,7123.8247
24,22,7604.3264
25,22,11996.7167
26,22,11288.0685
27,22,14971
28,22,14130
11,23,-21161
12,23,-22192
13,23,-14429.7751
14,23,-16381.0765
15,23,-10451.2656
16,23,-10388.0361
17,23,-4719.9687
18,23,-5760.318
19,23,-599.3527
20,23,-1833.4783
21,23,3652.6948
22,23,2062.0551
23,23,7052.3723
24,23,7443.9769
25,23,13524.6692
26,23,12869.1957
27,23,16887.0566
28,23,15692
29,23,20680
12,24,-25523
13,24,-18401.9132
14,24,-20640
15,24,-15094.9874
16,24,-14698.6603
17,24,-8298.6116
18,24,-9590.9082
19,24,-4565.5836
20,24,-5687.2319
21,24,-260.091
22,24,-2366.626
23,24,2930.5422
24,24,1656.6918
25,24,7712.4265
26,24,8150.4267
27,24,12847.0389
28,24,11784.123
29,24,16491
30,24,15538
12,25,-24923
13,25,-17604
14,25,-19169
15,25,-13806.0653
16,25,-14028.8125
17,25,-7194.0221
18,25,-7850.3002
19,25,-3108.2375
20,25,-4196.5868
21,25,1377.9665
22,25,-600.7694
23,25,4014.9467
24,25,2629.8047
25,25,7634.4776
26,25,8054.04
27,25,13988.1167
28,25,13028.5485
29,25,18038
30,25,17366
31,25,21550
12,26,-27831
13,26,-21286
14,26,-23154
15,26,-18180
16,26,-18729.5899
17,26,-11964.05
18,26,-12194.2869
19,26,-6844.8422
20,26,-7725.6802
21,26,-1992.177
22,26,-3988.8685
23,26,601.8555
24,26,-1038.124
25,26,3207.4893
26,26,2379.2912
27,26,8288.1073
28,26,8731.7558
29,26,13700.5585
30,26,13240
31,26,17140
32,26,15960
12,27,-27201
13,27,-20729
14,27,-21390
15,27,-15748
16,27,-17236
17,27,-11274.7373
18,27,-11508.2568
19,27,-5642.6746
20,27,-6632.6837
21,27,-279.2155
22,27,-2001.5652
23,27,2208.6274
24,27,752.3907
25,27,4708.1214
26,27,3742.8664
27,27,8244.5478
28,27,8694.035
29,27,15277.9163
30,27,14759
31,27,18759
32,27,17390
33,27,21890
13,28,-23510
14,28,-25150
15,28,-19289
16,28,-20314
17,28,-14922
18,28,-16036.3062
19,28,-10344.7078
20,28,-11940.3857
21,28,-5262.4445
22,28,-6894.747
23,28,-2470.1402
24,28,-3976.4763
25,28,597.2679
26,28,-696.3688
27,28,3451.4254
28,28,2132.8689
29,28,8774.9466
30,28,9368.9796
31,28,13456
32,28,12060
33,28,16590
14,29,-23940
15,29,-18200
16,29,-19301
17,29,-14375
18,29,-15787
19,29,-9929.555
20,29,-11688.5069
21,29,-4947.8903
22,29,-6482.6122
23,29,-1965.334
24,29,-3435.9426
25,29,1377.1325
26,29,231.1204
27,29,4566.6455
28,29,3261.697
29,29,8561.0204
30,29,9142.776
31,29,14584
32,29,13345
33,29,17720
34,29,16650
15,30,-21130
16,30,-22200
17,30,-16781
18,30,-18075
19,30,-12551
20,30,-13861.3774
21,30,-6918.0432
22,30,-8954.1372
23,30,-4970.2419
24,30,-7037.1118
