z,n,halflife(Seconds)
1,0,STABLE
1,1,STABLE
2,1,STABLE
3,1,2.2784999999999998e-21
1,2,388855902.96000004
2,2,STABLE
3,2,5.605109999999999e-22
4,2,4.19244e-17
5,2,3.650157e-16
6,2,5.924100000000001e-17
1,3,1.5038099999999997e-21
2,3,3.276483e-16
3,3,STABLE
4,3,4605120
5,3,0.7721
6,3,0.1265
7,3,1.1392499999999999e-21
8,3,1.052667e-21
1,4,2.41521e-21
2,4,0.8071200000000001
3,4,STABLE
4,4,2.538249e-15
5,4,2.46078e-13
6,4,19.3015
7,4,3.55446e-16
8,4,2.32407e-17
1,5,6.8355e-22
2,5,8.88615e-17
3,5,0.83879
4,5,STABLE
5,5,STABLE
6,5,1220.406
7,5,0.010996
8,5,0.00858
9,5,4.14687e-16
10,5,2.68863e-22
1,6,8.202599999999999e-23
2,6,0.11900000000000001
3,6,0.178
4,6,43725800311200
5,6,STABLE
6,6,STABLE
7,6,598.02
8,6,70.6183
9,6,1.7316599999999998e-22
10,6,3.6456e-17
12,6,5.24055e-17
2,7,8.2026e-17
3,7,1.04811e-22
4,7,13.77
5,7,0.02022
6,7,STABLE
7,7,STABLE
8,7,122.268
9,7,1.052667e-17
10,7,0.1091
11,7,9.114e-23
12,7,3.5000000000000004e-12
2,8,8.202599999999999e-22
3,8,0.00875
4,8,0.02146
5,8,0.01716
6,8,179436513600
7,8,STABLE
8,8,STABLE
9,8,64.368
10,8,1.66432
11,8,1.8228e-17
12,8,0.09040000000000001
13,8,3.5e-8
14,8,0.028399999999999998
4,9,2.05065e-16
5,9,0.01234
6,9,2.451
7,9,7.13
8,9,STABLE
9,9,6584.04
10,9,17.2569
11,9,0.448
12,9,0.12
13,9,0.0886
14,9,0.047
3,10,5.69625e-17
4,10,0.0046500000000000005
5,10,0.01018
6,10,0.75
7,10,4.171
8,10,STABLE
9,10,STABLE
10,10,STABLE
11,10,22.4548
12,10,3.87445
13,10,0.447
14,10,0.1414
15,10,3.0000000000000004e-8
16,10,7.9e-8
4,11,2.6430600000000003e-16
5,11,4.557e-17
6,11,0.193
7,11,0.619
8,11,26.47
9,11,11.0064
10,11,STABLE
11,11,82109719.44
12,11,11.3042
13,11,2.053
14,11,0.2192
15,11,0.0436
16,11,0.016300000000000002
4,12,3.6456e-22
5,12,0.005070000000000001
6,12,0.092
7,12,0.336
8,12,13.51
9,12,4.158
10,12,STABLE
11,12,STABLE
12,12,STABLE
13,12,7.1666
14,12,2.2452
15,12,0.26
16,12,0.125
17,12,2e-8
18,12,1e-11
