iter	Logloss
0	0.6919195356
1	0.6906367482
2	0.6893290081
3	0.6880863143
4	0.686809481
5	0.6855489347
6	0.6842627257
7	0.6830279515
8	0.6817906035
9	0.6805457435
10	0.6792856648
11	0.6780216643
12	0.6767914053
13	0.6755746064
14	0.6742787145
15	0.6730352507
16	0.6717998195
17	0.6705754475
18	0.6693817203
19	0.6681677795
20	0.6669767832
21	0.6657692052
22	0.6645714934
23	0.6633500938
24	0.6621307478
25	0.6609206142
26	0.6597453861
27	0.6585624012
28	0.6573572306
29	0.6561721301
30	0.6549983345
31	0.6537964952
32	0.6525599507
33	0.6514176087
34	0.6502043214
35	0.6490170654
36	0.6478647104
37	0.6466797419
38	0.6454945174
39	0.6443626826
40	0.6432020783
41	0.6420237054
42	0.6408170715
43	0.6396517845
44	0.6384725728
45	0.6372979351
46	0.6361918994
47	0.6349777688
48	0.6337834282
49	0.6326554181
50	0.6315482239
51	0.6303972891
52	0.6292919458
53	0.6281133997
54	0.6269625436
55	0.6258444632
56	0.6247568499
57	0.623635457
58	0.622522446
59	0.6214276436
60	0.6203177539
61	0.6191917955
62	0.6180738105
63	0.6168707067
64	0.6157988453
65	0.6147345599
66	0.613652551
67	0.6124908554
