iter	Passed	Remaining
0	17142	7405710
1	34326	7397265
2	50949	7302794
3	67474	7236625
4	84504	7233562
5	101372	7214361
6	118452	7208660
7	135870	7218113
8	154735	7289753
9	173512	7339585
10	191452	7344826
11	209357	7344953
12	226902	7330710
13	243811	7296936
14	252160	7026874
15	269123	7014039
16	285995	6998486
17	304547	7021500
18	323014	7038318
19	341503	7052052
20	360345	7069645
21	379611	7091841
22	396525	7068500
23	413299	7043307
24	429765	7013779
25	446635	6991569
26	462985	6961931
27	479896	6941352
28	496982	6923485
29	513882	6903151
30	530942	6885123
31	547738	6863851
32	564885	6847102
33	581745	6826954
34	598702	6808102
35	615806	6790972
36	632794	6772616
37	649975	6756325
38	666905	6737452
39	683873	6719061
40	700779	6700133
41	717781	6682201
42	735168	6667807
43	751938	6647824
44	768709	6627988
45	785624	6609495
46	802820	6593380
47	819372	6572049
48	836246	6553443
49	852830	6532679
50	870174	6517776
51	887027	6499180
52	903934	6481036
53	921071	6464555
54	937872	6445744
55	954853	6428211
56	971676	6409658
57	988755	6392818
58	1006059	6377391
59	1023107	6360319
60	1040062	6342674
61	1056942	6324605
62	1073796	6306426
63	1090625	6288139
64	1107588	6270655
65	1124512	6252968
66	1141662	6236546
67	1158602	6218971
